,Date,Close,Volume,Stock
45077,2008-06-09,23.257,526264929,AAPL
45078,2008-06-10,23.774,318040510,AAPL
45079,2008-06-11,23.156,267941514,AAPL
45080,2008-06-12,22.189,364403085,AAPL
45081,2008-06-13,22.074,375180778,AAPL
45082,2008-06-16,22.647,293123381,AAPL
45083,2008-06-17,23.233,250860097,AAPL
45084,2008-06-18,22.894,226169454,AAPL
45085,2008-06-19,23.167,220848579,AAPL
45086,2008-06-20,22.446,247567738,AAPL
45087,2008-06-23,22.174,180076401,AAPL
45088,2008-06-24,22.187,173441356,AAPL
45089,2008-06-25,22.716,179458876,AAPL
45090,2008-06-26,21.546,242173913,AAPL
45091,2008-06-27,21.78,289785857,AAPL
45092,2008-06-30,21.444,190779913,AAPL
45093,2008-07-01,22.37,309727561,AAPL
45094,2008-07-02,21.537,233567418,AAPL
45095,2008-07-03,21.785,145977693,AAPL
45096,2008-07-07,22.432,228559086,AAPL
45097,2008-07-08,22.993,247711824,AAPL
45098,2008-07-09,22.315,249550627,AAPL
45099,2008-07-10,22.621,234103082,AAPL
45100,2008-07-11,22.103,259219811,AAPL
45101,2008-07-14,22.268,246917000,AAPL
45102,2008-07-15,21.723,289877701,AAPL
45103,2008-07-16,22.133,208531685,AAPL
45104,2008-07-17,22.002,210793201,AAPL
45105,2008-07-18,21.148,240622373,AAPL
45106,2008-07-21,21.295,355311216,AAPL
45107,2008-07-22,20.749,523327034,AAPL
45108,2008-07-23,21.29,295362486,AAPL
45109,2008-07-24,20.366,234088625,AAPL
45110,2008-07-25,20.761,176473261,AAPL
45111,2008-07-28,19.773,217660487,AAPL
45112,2008-07-29,20.117,190706395,AAPL
45113,2008-07-30,20.473,201962288,AAPL
45114,2008-07-31,20.356,177591108,AAPL
45115,2008-08-01,20.062,151903672,AAPL
45116,2008-08-04,19.622,164769142,AAPL
45117,2008-08-05,20.572,191884653,AAPL
45118,2008-08-06,21.028,220670153,AAPL
45119,2008-08-07,20.948,187434681,AAPL
45120,2008-08-08,21.711,199068558,AAPL
45121,2008-08-11,22.227,248378005,AAPL
45122,2008-08-12,22.633,233132531,AAPL
45123,2008-08-13,22.962,234899860,AAPL
45124,2008-08-14,22.963,198233593,AAPL
45125,2008-08-15,22.504,197505890,AAPL
45126,2008-08-18,22.461,153762598,AAPL
45127,2008-08-19,22.222,171720613,AAPL
45128,2008-08-20,22.517,141359624,AAPL
